draw_date,draw_number,numbers,bonus_number
2000/4/18,42,"[2,5,19,24,31]",28
2000/4/25,43,"[3,6,11,16,30]",5
2000/5/2,44,"[5,18,20,25,27]",11
2000/5/9,45,"[7,13,19,24,26]",11
2000/5/16,46,"[2,10,22,23,26]",6
2000/5/23,47,"[2,6,8,17,29]",10
2000/5/30,48,"[2,9,11,13,31]",18
2000/6/6,49,"[10,13,14,23,25]",12
2000/6/13,50,"[4,5,6,8,10]",26
2000/6/20,51,"[5,7,15,16,31]",2
2000/6/27,52,"[4,10,12,26,31]",20
2000/7/4,53,"[4,13,14,15,17]",30
2000/7/11,54,"[4,5,15,18,21]",16
2000/7/18,55,"[4,10,11,18,31]",3
2000/7/25,56,"[1,3,7,10,27]",16
2000/8/1,57,"[3,21,23,27,29]",13
2000/8/8,58,"[1,2,4,10,24]",20
2000/8/15,59,"[9,15,20,21,22]",10
2000/8/22,60,"[16,17,22,23,26]",30
2000/8/29,61,"[9,23,24,29,30]",5
2000/9/5,62,"[5,10,13,17,29]",6
2000/9/12,63,"[3,5,6,22,28]",1
2000/9/19,64,"[5,10,11,12,23]",15
2000/9/26,65,"[8,9,10,17,23]",15
2000/10/3,66,"[5,6,12,17,20]",1
2000/10/10,67,"[4,5,8,14,27]",6
2000/10/17,68,"[5,6,21,22,24]",11
2000/10/24,69,"[5,6,9,23,30]",2
2000/10/31,70,"[1,5,7,17,21]",15
2000/11/7,71,"[11,17,18,22,30]",2
2000/11/14,72,"[8,10,24,28,30]",12
2000/11/21,73,"[4,6,8,26,30]",7
2000/11/28,74,"[4,6,16,22,28]",9
2000/12/5,75,"[7,14,16,17,29]",1
2000/12/12,76,"[6,11,13,16,23]",3
2000/12/19,77,"[2,3,10,22,26]",23
2000/12/26,78,"[4,11,19,20,22]",28
2001/1/9,79,"[2,13,16,26,30]",11
2001/1/16,80,"[7,10,13,18,22]",4
2001/1/23,81,"[1,7,10,16,25]",18
2001/1/30,82,"[1,3,11,27,30]",8
2001/2/6,83,"[1,6,11,23,26]",3
2001/2/13,84,"[1,15,29,30,31]",16
2001/2/20,85,"[9,11,14,20,29]",2
2001/2/27,86,"[2,8,13,20,24]",9
2001/3/6,87,"[1,5,12,23,27]",14
2001/3/13,88,"[4,19,26,27,30]",3
2001/3/20,89,"[5,7,24,27,29]",14
2001/3/27,90,"[6,12,14,21,27]",15
2001/4/3,91,"[8,9,15,18,22]",3
2001/4/10,92,"[2,3,11,22,30]",31
2001/4/17,93,"[11,15,22,26,27]",8
2001/4/24,94,"[16,19,20,26,29]",27
2001/5/1,95,"[4,5,7,8,31]",26
2001/5/8,96,"[1,5,6,14,27]",17
2001/5/15,97,"[6,12,15,19,22]",3
2001/5/22,98,"[1,2,9,11,20]",4
2001/5/29,99,"[3,7,10,13,15]",26
2001/6/5,100,"[11,12,19,20,31]",3
2001/6/12,101,"[2,10,11,13,26]",22
2001/6/19,102,"[5,10,11,25,28]",23
2001/6/26,103,"[10,13,19,21,30]",14
2001/7/3,104,"[3,4,7,21,30]",31
2001/7/10,105,"[6,11,14,21,27]",20
2001/7/17,106,"[3,5,11,12,18]",2
2001/7/24,107,"[4,8,12,26,27]",18
2001/7/31,108,"[6,10,20,27,29]",19
2001/8/7,109,"[3,5,15,19,22]",25
2001/8/14,110,"[3,7,13,22,27]",2
2001/8/21,111,"[10,19,24,27,31]",6
2001/8/28,112,"[5,7,15,26,27]",1
2001/9/4,113,"[1,2,6,16,28]",4
2001/9/11,114,"[3,5,6,7,11]",8
2001/9/18,115,"[10,15,29,30,31]",16
2001/9/25,116,"[2,7,13,18,23]",11
2001/10/2,117,"[5,11,12,23,24]",3
2001/10/9,118,"[2,4,12,20,23]",14
2001/10/16,119,"[12,14,25,29,30]",5
2001/10/23,120,"[8,12,14,18,27]",24
2001/10/30,121,"[5,17,18,24,30]",20
2001/11/6,122,"[1,8,23,27,28]",9
2001/11/13,123,"[1,5,6,13,15]",21
2001/11/20,124,"[5,7,17,19,27]",9
2001/11/27,125,"[2,21,22,27,29]",24
2001/12/4,126,"[7,16,18,22,25]",21
2001/12/11,127,"[8,9,18,29,31]",24
2001/12/18,128,"[3,6,22,24,27]",26
2001/12/25,129,"[2,13,20,25,30]",12
2002/1/8,130,"[3,4,11,17,26]",5
2002/1/15,131,"[1,9,12,18,21]",15
2002/1/22,132,"[7,13,17,19,24]",18
2002/1/29,133,"[4,7,11,18,31]",27
2002/2/5,134,"[4,5,13,16,18]",20
2002/2/12,135,"[4,7,8,9,24]",20
2002/2/19,136,"[5,11,14,18,28]",8
2002/2/26,137,"[3,15,20,25,28]",30
2002/3/5,138,"[1,4,21,30,31]",16
2002/3/12,139,"[14,17,20,26,28]",23
2002/3/19,140,"[8,9,17,20,29]",6
2002/3/26,141,"[4,6,9,20,24]",16
2002/4/2,142,"[10,11,24,25,30]",8
2002/4/9,143,"[17,18,20,23,26]",6
2002/4/16,144,"[4,13,14,19,28]",5
2002/4/23,145,"[13,14,19,24,28]",3
2002/4/30,146,"[1,6,11,12,18]",8
2002/5/7,147,"[5,10,21,27,28]",2
2002/5/14,148,"[2,7,19,26,31]",24
2002/5/21,149,"[5,6,17,27,28]",20
2002/5/28,150,"[2,11,16,24,26]",4
2002/6/4,151,"[4,10,13,14,19]",12
2002/6/11,152,"[1,2,11,22,30]",27
2002/6/18,153,"[2,3,8,23,29]",6
2002/6/25,154,"[2,10,16,19,22]",17
2002/7/2,155,"[9,10,16,21,23]",4
2002/7/9,156,"[2,3,13,19,31]",15
2002/7/16,157,"[1,5,14,18,20]",6
2002/7/23,158,"[3,14,16,20,31]",25
2002/7/30,159,"[7,11,16,23,24]",13
2002/8/6,160,"[4,23,24,30,31]",27
2002/8/13,161,"[2,3,4,17,19]",8
2002/8/20,162,"[6,14,17,23,31]",20
2002/8/27,163,"[1,12,13,16,28]",31
2002/9/3,164,"[7,9,16,26,30]",28
2002/9/10,165,"[9,16,24,25,26]",20
2002/9/17,166,"[8,13,21,24,28]",16
2002/9/24,167,"[11,19,20,25,26]",23
2002/10/1,168,"[2,8,11,16,30]",17
2002/10/8,169,"[8,15,18,25,31]",13
2002/10/15,170,"[2,7,14,20,22]",5
2002/10/22,171,"[2,6,9,12,31]",17
2002/10/29,172,"[1,4,14,21,28]",3
2002/11/5,173,"[11,18,20,22,29]",10
2002/11/12,174,"[1,3,8,21,22]",2
2002/11/19,175,"[8,12,17,19,24]",5
2002/11/26,176,"[12,14,24,26,30]",18
2002/12/3,177,"[7,13,17,21,30]",20
2002/12/10,178,"[3,24,26,28,31]",20
2002/12/17,179,"[1,7,26,30,31]",12
2002/12/24,180,"[17,18,19,21,28]",22
2003/1/7,181,"[1,3,14,16,26]",12
2003/1/14,182,"[2,10,14,23,24]",6
2003/1/21,183,"[3,9,13,25,26]",7
2003/1/28,184,"[2,10,23,30,31]",16
2003/2/4,185,"[7,19,20,25,28]",2
2003/2/11,186,"[8,12,20,21,25]",22
2003/2/18,187,"[4,6,17,24,25]",1
2003/2/25,188,"[7,16,24,25,28]",30
2003/3/4,189,"[9,16,22,25,26]",3
2003/3/11,190,"[4,5,21,27,29]",2
2003/3/18,191,"[1,6,8,12,13]",2
2003/3/25,192,"[6,7,10,11,17]",3
2003/4/1,193,"[6,8,18,20,22]",11
2003/4/8,194,"[3,6,15,17,23]",1
2003/4/15,195,"[1,2,6,15,23]",21
2003/4/22,196,"[2,4,14,21,22]",16
2003/4/29,197,"[8,18,20,21,31]",1
2003/5/6,198,"[13,20,21,25,28]",14
2003/5/13,199,"[1,9,21,26,29]",25
2003/5/20,200,"[1,4,12,13,18]",25
2003/5/27,201,"[3,5,23,25,26]",17
2003/6/3,202,"[6,10,11,18,31]",25
2003/6/10,203,"[4,10,18,22,25]",20
2003/6/17,204,"[7,18,22,24,29]",9
2003/6/24,205,"[3,4,13,14,23]",12
2003/7/1,206,"[6,8,12,27,31]",24
2003/7/8,207,"[3,4,10,16,25]",7
2003/7/15,208,"[6,10,13,16,17]",29
2003/7/22,209,"[7,17,23,27,29]",12
2003/7/29,210,"[9,10,18,19,29]",21
2003/8/5,211,"[9,10,13,18,22]",15
2003/8/12,212,"[1,5,10,14,30]",26
2003/8/19,213,"[1,2,3,9,29]",27
2003/8/26,214,"[2,8,16,18,28]",12
2003/9/2,215,"[4,15,20,21,28]",16
2003/9/9,216,"[3,7,13,16,17]",2
2003/9/16,217,"[2,8,17,19,23]",21
2003/9/23,218,"[9,16,24,25,29]",23
2003/9/30,219,"[1,15,17,21,28]",6
2003/10/7,220,"[9,10,11,21,29]",5
2003/10/14,221,"[4,8,14,22,26]",9
2003/10/21,222,"[10,18,21,26,28]",9
2003/10/28,223,"[4,10,16,19,22]",21
2003/11/4,224,"[12,16,27,30,31]",14
2003/11/11,225,"[13,14,18,24,26]",16
2003/11/18,226,"[4,12,14,26,30]",28
2003/11/25,227,"[2,4,7,21,30]",20
2003/12/2,228,"[10,17,21,24,27]",2
2003/12/9,229,"[12,19,23,24,30]",6
2003/12/16,230,"[4,16,17,25,26]",19
2003/12/23,231,"[3,4,10,11,24]",28
2003/12/30,232,"[3,12,20,24,26]",31
2004/1/6,233,"[8,14,19,21,29]",25
2004/1/13,234,"[16,18,22,23,26]",2
2004/1/20,235,"[5,6,16,17,31]",8
2004/1/27,236,"[14,17,23,24,29]",3
2004/2/3,237,"[6,8,17,18,28]",20
2004/2/10,238,"[13,15,17,22,25]",26
2004/2/17,239,"[16,18,21,23,27]",31
2004/2/24,240,"[2,6,14,28,29]",11
2004/3/2,241,"[1,2,4,13,26]",7
2004/3/9,242,"[5,12,23,27,31]",14
2004/3/16,243,"[4,11,15,27,28]",1
2004/3/23,244,"[6,11,21,22,25]",15
2004/3/30,245,"[1,10,14,21,28]",23
2004/4/6,246,"[1,12,15,20,23]",4
2004/4/13,247,"[7,11,19,27,31]",2
2004/4/20,248,"[4,13,16,24,29]",12
2004/4/27,249,"[9,11,12,18,20]",7
2004/5/4,250,"[1,3,11,12,31]",22
2004/5/11,251,"[1,3,19,20,23]",28
2004/5/18,252,"[12,18,24,27,31]",22
2004/5/25,253,"[1,3,10,21,25]",29
2004/6/1,254,"[3,7,22,25,29]",27
2004/6/8,255,"[12,17,20,27,29]",18
2004/6/15,256,"[5,9,15,16,27]",28
2004/6/22,257,"[2,9,12,20,31]",10
2004/6/29,258,"[4,6,9,19,22]",5
2004/7/6,259,"[5,7,11,12,23]",17
2004/7/13,260,"[6,7,17,19,23]",28
2004/7/20,261,"[2,3,5,14,29]",18
2004/7/27,262,"[5,19,23,27,28]",2
2004/8/3,263,"[15,25,28,30,31]",2
2004/8/10,264,"[2,4,7,25,30]",15
2004/8/17,265,"[1,3,24,26,28]",21
2004/8/24,266,"[3,8,25,28,31]",6
2004/8/31,267,"[8,14,15,19,25]",31
2004/9/7,268,"[17,18,20,27,31]",13
2004/9/14,269,"[3,7,20,23,29]",16
2004/9/21,270,"[9,10,11,14,19]",21
2004/9/28,271,"[6,13,15,24,31]",20
2004/10/5,272,"[4,16,21,28,29]",9
2004/10/12,273,"[3,5,7,11,17]",23
2004/10/19,274,"[7,8,9,16,25]",12
2004/10/26,275,"[11,16,17,21,22]",19
2004/11/2,276,"[12,16,19,20,23]",11
2004/11/9,277,"[4,14,16,19,22]",10
2004/11/16,278,"[8,12,13,14,24]",16
2004/11/23,279,"[2,7,19,23,25]",11
2004/11/30,280,"[4,9,13,15,19]",12
2004/12/7,281,"[5,7,11,13,21]",27
2004/12/14,282,"[1,2,18,27,29]",13
2004/12/21,283,"[11,15,19,20,29]",1
2004/12/28,284,"[1,5,8,11,18]",30
2005/1/4,285,"[8,17,19,24,26]",16
2005/1/11,286,"[14,15,20,22,30]",2
2005/1/18,287,"[2,7,14,19,21]",1
2005/1/25,288,"[6,16,21,29,31]",18
2005/2/1,289,"[5,6,11,24,28]",18
2005/2/8,290,"[3,8,11,23,30]",5
2005/2/15,291,"[4,8,21,23,26]",22
2005/2/22,292,"[2,7,13,25,31]",17
2005/3/1,293,"[14,15,16,24,25]",12
2005/3/8,294,"[14,23,26,29,31]",28
2005/3/15,295,"[8,14,16,17,26]",5
2005/3/22,296,"[8,14,18,24,29]",19
2005/3/29,297,"[5,9,18,25,30]",31
2005/4/5,298,"[8,10,12,15,22]",16
2005/4/12,299,"[2,9,15,26,31]",11
2005/4/19,300,"[10,13,16,22,28]",7
2005/4/26,301,"[5,11,16,26,31]",12
2005/5/3,302,"[6,7,9,14,20]",22
2005/5/10,303,"[13,14,16,19,25]",1
2005/5/17,304,"[3,10,11,14,20]",17
2005/5/24,305,"[10,11,13,16,24]",22
2005/5/31,306,"[17,20,23,24,31]",11
2005/6/7,307,"[2,10,15,21,28]",12
2005/6/14,308,"[1,13,17,22,27]",16
2005/6/21,309,"[8,14,17,22,23]",1
2005/6/28,310,"[6,14,17,24,25]",11
2005/7/5,311,"[2,17,19,28,29]",10
2005/7/12,312,"[7,12,17,18,21]",11
2005/7/19,313,"[1,7,26,27,31]",30
2005/7/26,314,"[2,7,16,18,20]",28
2005/8/2,315,"[7,11,15,28,31]",14
2005/8/9,316,"[24,25,28,29,30]",27
2005/8/16,317,"[8,10,11,22,23]",12
2005/8/23,318,"[9,18,19,30,31]",16
2005/8/30,319,"[3,20,21,22,27]",9
2005/9/6,320,"[6,7,13,28,30]",12
2005/9/13,321,"[2,11,18,21,27]",15
2005/9/20,322,"[5,8,10,28,31]",2
2005/9/27,323,"[5,15,19,22,27]",29
2005/10/4,324,"[5,6,13,29,30]",17
2005/10/11,325,"[8,11,13,15,28]",22
2005/10/18,326,"[1,3,6,11,25]",12
2005/10/25,327,"[8,14,19,25,28]",16
2005/11/1,328,"[1,2,11,12,18]",8
2005/11/8,329,"[5,14,15,17,29]",10
2005/11/15,330,"[3,13,15,19,24]",8
2005/11/22,331,"[6,19,21,29,30]",24
2005/11/29,332,"[4,9,24,28,29]",25
2005/12/6,333,"[19,21,22,26,28]",24
2005/12/13,334,"[7,12,22,23,25]",13
2005/12/20,335,"[14,16,23,25,31]",22
2005/12/27,336,"[10,14,20,27,28]",8
2006/1/10,337,"[4,7,21,22,23]",15
2006/1/17,338,"[1,3,19,21,27]",9
2006/1/24,339,"[4,9,11,15,23]",26
2006/1/31,340,"[10,14,18,23,25]",31
2006/2/7,341,"[2,5,17,18,26]",3
2006/2/14,342,"[2,15,24,25,27]",9
2006/2/21,343,"[6,10,15,27,30]",8
2006/2/28,344,"[4,9,13,21,23]",31
2006/3/7,345,"[7,14,16,17,29]",18
2006/3/14,346,"[4,14,18,26,31]",3
2006/3/21,347,"[10,11,20,23,27]",13
2006/3/28,348,"[8,9,11,12,18]",23
2006/4/4,349,"[3,5,6,7,12]",18
2006/4/11,350,"[3,9,22,24,28]",27
2006/4/18,351,"[3,6,11,12,27]",26
2006/4/25,352,"[5,7,14,17,30]",29
2006/5/2,353,"[3,13,14,17,25]",18
2006/5/9,354,"[3,6,17,19,30]",1
2006/5/16,355,"[8,9,24,27,29]",31
2006/5/23,356,"[6,11,17,19,22]",21
2006/5/30,357,"[15,24,26,28,29]",16
2006/6/6,358,"[4,13,18,27,31]",23
2006/6/13,359,"[3,11,15,18,19]",22
2006/6/20,360,"[6,11,20,27,28]",5
2006/6/27,361,"[2,4,6,12,30]",5
2006/7/4,362,"[4,17,19,20,31]",7
2006/7/11,363,"[4,10,12,17,22]",16
2006/7/18,364,"[5,9,13,20,23]",18
2006/7/25,365,"[6,10,18,27,28]",14
2006/8/1,366,"[2,11,14,19,30]",3
2006/8/8,367,"[4,6,14,19,31]",9
2006/8/15,368,"[1,8,17,28,29]",6
2006/8/22,369,"[4,10,23,29,30]",31
2006/8/29,370,"[10,12,16,26,28]",21
2006/9/5,371,"[10,12,19,23,31]",27
2006/9/12,372,"[1,5,22,25,30]",12
2006/9/19,373,"[3,5,11,12,29]",22
2006/9/26,374,"[9,17,27,28,29]",8
2006/10/3,375,"[1,10,20,23,24]",16
2006/10/10,376,"[7,13,21,25,28]",2
2006/10/17,377,"[1,12,20,21,30]",6
2006/10/24,378,"[6,8,15,21,24]",5
2006/10/31,379,"[2,8,15,19,28]",26
2006/11/7,380,"[2,11,12,17,31]",15
2006/11/14,381,"[3,9,19,22,23]",21
2006/11/21,382,"[7,9,11,14,23]",19
2006/11/28,383,"[4,7,9,17,31]",12
2006/12/5,384,"[4,9,15,25,29]",5
2006/12/12,385,"[6,14,20,24,27]",3
2006/12/19,386,"[1,3,5,7,23]",14
2006/12/26,387,"[16,26,28,29,30]",11
2007/1/9,388,"[4,8,19,27,31]",11
2007/1/16,389,"[8,11,13,27,30]",6
2007/1/23,390,"[11,14,23,29,30]",20
2007/1/30,391,"[1,10,15,30,31]",21
2007/2/6,392,"[3,13,15,25,30]",26
2007/2/13,393,"[15,17,18,22,30]",11
2007/2/20,394,"[2,5,21,27,31]",25
2007/2/27,395,"[6,21,22,23,31]",3
2007/3/6,396,"[1,6,21,25,28]",22
2007/3/13,397,"[1,14,17,24,25]",29
2007/3/20,398,"[10,17,25,27,31]",26
2007/3/27,399,"[7,13,23,27,31]",8
2007/4/3,400,"[12,20,22,24,25]",26
2007/4/10,401,"[11,13,18,26,30]",6
2007/4/17,402,"[10,20,22,24,27]",8
2007/4/24,403,"[2,5,16,30,31]",18
2007/5/1,404,"[1,8,11,26,28]",24
2007/5/8,405,"[8,9,13,27,31]",17
2007/5/15,406,"[5,13,19,28,29]",1
2007/5/22,407,"[5,15,21,22,31]",10
2007/5/29,408,"[7,12,22,26,30]",4
2007/6/5,409,"[2,11,19,27,28]",5
2007/6/12,410,"[3,10,19,20,31]",15
2007/6/19,411,"[5,8,12,19,22]",11
2007/6/26,412,"[1,5,6,9,23]",16
2007/7/3,413,"[8,14,21,23,29]",17
2007/7/10,414,"[5,7,10,20,27]",21
2007/7/17,415,"[11,16,24,28,30]",22
2007/7/24,416,"[4,6,13,15,22]",7
2007/7/31,417,"[3,9,12,23,24]",22
2007/8/7,418,"[13,16,22,27,30]",4
2007/8/14,419,"[5,12,19,20,27]",28
2007/8/21,420,"[2,10,13,23,27]",18
2007/8/28,421,"[11,14,24,28,29]",16
2007/9/4,422,"[10,12,15,21,27]",24
2007/9/11,423,"[8,14,16,24,31]",7
2007/9/18,424,"[3,4,8,11,31]",24
2007/9/25,425,"[4,10,20,25,28]",6
2007/10/2,426,"[3,15,17,21,26]",29
2007/10/9,427,"[9,14,19,20,26]",16
2007/10/16,428,"[11,20,24,27,29]",21
2007/10/23,429,"[11,18,22,26,30]",20
2007/10/30,430,"[3,7,16,18,21]",27
2007/11/6,431,"[3,12,14,24,25]",2
2007/11/13,432,"[3,9,14,22,25]",12
2007/11/20,433,"[1,12,17,20,27]",14
2007/11/27,434,"[1,6,10,11,22]",18
2007/12/4,435,"[8,19,22,25,27]",6
2007/12/11,436,"[7,8,18,21,24]",17
2007/12/18,437,"[9,13,15,28,31]",12
2007/12/25,438,"[1,2,10,13,21]",16
2008/1/8,439,"[10,17,19,21,23]",16
2008/1/15,440,"[5,12,13,21,30]",28
2008/1/22,441,"[6,8,19,28,30]",17
2008/1/29,442,"[5,8,19,24,30]",17
2008/2/5,443,"[5,17,22,23,30]",20
2008/2/12,444,"[1,11,17,30,31]",13
2008/2/19,445,"[7,16,18,26,31]",25
2008/2/26,446,"[10,11,15,16,17]",4
2008/3/4,447,"[14,17,20,25,26]",8
2008/3/11,448,"[1,7,12,17,18]",25
2008/3/18,449,"[7,8,10,11,20]",12
2008/3/25,450,"[2,5,8,13,27]",26
2008/4/1,451,"[3,7,12,14,16]",31
2008/4/8,452,"[2,12,16,18,30]",20
2008/4/15,453,"[4,7,12,17,27]",24
2008/4/22,454,"[2,5,13,20,24]",12
2008/4/29,455,"[1,10,16,24,26]",9
2008/5/6,456,"[6,8,10,16,20]",2
2008/5/13,457,"[2,16,17,22,28]",11
2008/5/20,458,"[6,8,15,24,31]",1
2008/5/27,459,"[12,13,26,27,29]",2
2008/6/3,460,"[10,11,25,27,30]",4
2008/6/10,461,"[6,12,17,20,26]",11
2008/6/17,462,"[4,19,22,25,29]",27
2008/6/24,463,"[12,13,16,21,23]",18
2008/7/1,464,"[1,12,16,22,28]",15
2008/7/8,465,"[13,18,21,25,28]",7
2008/7/15,466,"[15,16,19,20,29]",17
2008/7/22,467,"[1,2,13,15,23]",26
2008/7/29,468,"[7,8,13,24,27]",10
2008/8/5,469,"[5,9,12,16,19]",3
2008/8/12,470,"[11,15,22,30,31]",14
2008/8/19,471,"[13,17,20,23,30]",28
2008/8/26,472,"[4,15,17,20,21]",3
2008/9/2,473,"[4,5,18,20,26]",3
2008/9/9,474,"[5,12,14,18,23]",11
2008/9/16,475,"[8,9,12,14,24]",30
2008/9/23,476,"[3,10,12,20,24]",13
2008/9/30,477,"[1,4,13,20,28]",31
2008/10/7,478,"[3,17,18,22,25]",5
2008/10/14,479,"[14,22,26,27,29]",21
2008/10/21,480,"[5,7,18,25,31]",23
2008/10/28,481,"[3,7,13,16,25]",31
2008/11/4,482,"[2,16,20,24,29]",5
2008/11/11,483,"[7,20,23,27,29]",25
2008/11/18,484,"[1,3,4,19,29]",27
2008/11/25,485,"[3,8,10,15,31]",18
2008/12/2,486,"[5,8,20,22,26]",19
2008/12/9,487,"[15,17,20,22,29]",16
2008/12/16,488,"[10,15,17,23,29]",24
2008/12/23,489,"[2,4,9,22,31]",17
2008/12/30,490,"[7,9,13,21,24]",11
2009/1/6,491,"[8,10,16,20,23]",6
2009/1/13,492,"[3,8,9,11,20]",18
2009/1/20,493,"[1,11,12,13,17]",26
2009/1/27,494,"[2,10,14,26,28]",18
2009/2/3,495,"[7,10,22,26,27]",5
2009/2/10,496,"[4,10,11,22,30]",9
2009/2/17,497,"[4,21,23,27,28]",26
2009/2/24,498,"[2,15,20,23,30]",3
2009/3/3,499,"[2,8,14,15,26]",31
2009/3/10,500,"[19,20,23,25,28]",5
2009/3/17,501,"[12,13,16,17,21]",22
2009/3/24,502,"[2,3,5,13,14]",1
2009/3/31,503,"[11,18,21,23,27]",3
2009/4/7,504,"[8,10,24,28,31]",9
2009/4/14,505,"[5,16,19,20,22]",28
2009/4/21,506,"[4,14,15,23,24]",11
2009/4/28,507,"[10,19,26,27,28]",2
2009/5/5,508,"[3,6,9,14,25]",1
2009/5/12,509,"[2,13,22,29,30]",8
2009/5/19,510,"[18,19,21,23,30]",25
2009/5/26,511,"[13,16,26,28,31]",11
2009/6/2,512,"[8,14,25,29,30]",7
2009/6/9,513,"[3,11,18,19,25]",8
2009/6/16,514,"[15,16,21,25,30]",14
2009/6/23,515,"[5,21,24,25,26]",31
2009/6/30,516,"[3,12,14,15,26]",5
2009/7/7,517,"[12,26,28,29,30]",5
2009/7/14,518,"[11,16,18,20,27]",23
2009/7/21,519,"[2,9,25,29,31]",4
2009/7/28,520,"[2,3,11,14,30]",8
2009/8/4,521,"[4,9,14,25,26]",15
2009/8/11,522,"[4,19,22,23,27]",31
2009/8/18,523,"[8,17,18,19,24]",10
2009/8/25,524,"[7,10,17,22,24]",12
2009/9/1,525,"[1,14,21,25,27]",6
2009/9/8,526,"[4,5,16,21,31]",26
2009/9/15,527,"[11,13,15,23,25]",4
2009/9/22,528,"[2,11,14,15,21]",8
2009/9/29,529,"[5,7,14,16,20]",15
2009/10/6,530,"[2,3,5,16,19]",10
2009/10/13,531,"[13,21,22,26,27]",19
2009/10/20,532,"[5,10,21,27,28]",18
2009/10/27,533,"[6,13,19,23,31]",20
2009/11/3,534,"[7,22,25,26,30]",4
2009/11/10,535,"[18,20,23,24,31]",7
2009/11/17,536,"[14,18,20,22,24]",19
2009/11/24,537,"[9,10,27,29,30]",5
2009/12/1,538,"[8,10,13,20,21]",31
2009/12/8,539,"[9,18,23,26,29]",5
2009/12/15,540,"[2,19,22,27,29]",6
2009/12/22,541,"[1,9,10,16,23]",30
2009/12/29,542,"[3,9,11,20,27]",21
2010/1/5,543,"[4,7,17,22,25]",30
2010/1/12,544,"[3,9,18,29,30]",28
2010/1/19,545,"[1,15,23,28,29]",2
2010/1/26,546,"[3,8,19,22,29]",20
2010/2/2,547,"[5,23,25,29,31]",28
2010/2/9,548,"[5,6,16,23,29]",31
2010/2/16,549,"[10,12,19,24,25]",14
2010/2/23,550,"[8,16,22,28,31]",3
2010/3/2,551,"[1,2,10,24,31]",28
2010/3/9,552,"[7,11,14,17,28]",29
2010/3/16,553,"[2,13,23,24,30]",15
2010/3/23,554,"[2,6,23,24,28]",9
2010/3/30,555,"[1,15,18,24,29]",23
2010/4/6,556,"[4,6,16,17,24]",26
2010/4/13,557,"[8,18,21,22,28]",31
2010/4/20,558,"[4,10,16,22,30]",27
2010/4/27,559,"[2,4,7,11,16]",25
2010/5/4,560,"[11,13,17,29,30]",5
2010/5/11,561,"[1,5,6,16,25]",18
2010/5/18,562,"[2,7,12,15,17]",23
2010/5/25,563,"[4,5,18,19,30]",1
2010/6/1,564,"[9,17,19,22,29]",6
2010/6/8,565,"[18,19,20,28,29]",13
2010/6/15,566,"[3,8,23,28,30]",31
2010/6/22,567,"[10,12,20,24,25]",17
2010/6/29,568,"[8,12,16,24,30]",23
2010/7/6,569,"[10,17,23,26,28]",5
2010/7/13,570,"[1,2,5,6,10]",8
2010/7/20,571,"[9,22,27,28,29]",26
2010/7/27,572,"[1,6,18,23,29]",21
2010/8/3,573,"[15,21,22,23,29]",5
2010/8/10,574,"[3,7,8,13,15]",25
2010/8/17,575,"[10,16,20,21,27]",24
2010/8/24,576,"[6,8,10,21,23]",18
2010/8/31,577,"[5,10,21,24,25]",13
2010/9/7,578,"[5,11,16,19,30]",18
2010/9/14,579,"[1,4,15,17,23]",8
2010/9/21,580,"[1,4,14,15,26]",18
2010/9/28,581,"[2,6,12,14,30]",3
